letter,total,percent,score
ik,388,0.00152343,156
my,388,0.00152343,156
eb,380,0.00149202,157
af,376,0.00147632,158
gh,372,0.00146061,159
ph,372,0.00146061,159
ae,368,0.00144491,160
ev,368,0.00144491,160
if,356,0.00139779,161
rg,352,0.00138208,162
rl,352,0.00138208,162
hy,348,0.00136638,163
gs,344,0.00135067,164
ld,344,0.00135067,164
sn,344,0.00135067,164
ov,336,0.00131926,165
rk,332,0.00130356,166
rm,332,0.00130356,166
ib,324,0.00127214,167
vo,324,0.00127214,167
wo,324,0.00127214,167
fu,320,0.00125644,168
oy,320,0.00125644,168
xe,320,0.00125644,168
yo,316,0.00124073,169
pp,312,0.00122503,170
sm,312,0.00122503,170
oe,308,0.00120932,171
sw,308,0.00120932,171
ax,296,0.00116221,172
bb,292,0.0011465,173
dd,288,0.0011308,174
mm,288,0.0011308,174
ys,288,0.0011308,174
ek,284,0.00111509,175
fs,280,0.00109938,176
jo,280,0.00109938,176
bs,272,0.00106797,177
ft,272,0.00106797,177
iz,268,0.00105227,178
ct,264,0.00103656,179
ju,264,0.00103656,179
za,264,0.00103656,179
zo,264,0.00103656,179
gg,252,0.00098945,180
of,252,0.00098945,180
ws,248,0.00097374,181
eu,244,0.00095803,182
ef,240,0.00094233,183
ix,236,0.00092662,184
ox,228,0.00089521,185
uf,228,0.00089521,185
cy,224,0.00087951,186
ku,224,0.00087951,186
zi,224,0.00087951,186
pt,220,0.0008638,187
rc,220,0.0008638,187
xi,220,0.0008638,187
dg,216,0.0008481,188
eo,212,0.00083239,189
yr,212,0.00083239,189
hs,208,0.00081669,190
je,208,0.00081669,190
uk,204,0.00080098,191
rb,200,0.00078527,192
tc,200,0.00078527,192
wn,200,0.00078527,192
tw,196,0.00076957,193
ji,192,0.00075386,194
ht,188,0.00073816,195
cc,184,0.00072245,196
lk,184,0.00072245,196
wl,184,0.00072245,196
lm,180,0.00070675,197
oh,176,0.00069104,198
ao,172,0.00067534,199
hr,168,0.00065963,200
lp,168,0.00065963,200
fy,164,0.00064393,201
oz,160,0.00062822,202
wr,160,0.00062822,202
gn,156,0.00061251,203
kn,156,0.00061251,203
aj,148,0.0005811,204
kr,148,0.0005811,204
rv,148,0.0005811,204
zy,148,0.0005811,204
rp,144,0.0005654,205
aa,140,0.00054969,206
lc,140,0.00054969,206
lv,140,0.00054969,206
ym,140,0.00054969,206
yn,140,0.00054969,206
vy,136,0.00053399,207
nl,132,0.00051828,208
yp,124,0.00048687,209
zz,124,0.00048687,209
kh,116,0.00045546,210
uz,116,0.00045546,210
dh,112,0.00043975,211
eh,112,0.00043975,211
lf,112,0.00043975,211
uv,112,0.00043975,211
wy,108,0.00042405,212
rh,104,0.00040834,213
yu,100,0.00039264,214
ez,96,0.00037693,215
iu,96,0.00037693,215
lg,96,0.00037693,215
xy,96,0.00037693,215
yi,96,0.00037693,215
yt,96,0.00037693,215
cs,92,0.00036123,216
tl,92,0.00036123,216
vu,92,0.00036123,216
dl,88,0.00034552,217
ii,88,0.00034552,217
nz,88,0.00034552,217
wk,88,0.00034552,217
yc,88,0.00034552,217
kl,84,0.00032982,218
rf,84,0.00032982,218
nb,80,0.00031411,219
nr,80,0.00031411,219
uo,80,0.00031411,219
yd,80,0.00031411,219
mn,76,0.0002984,220
tz,76,0.0002984,220
nj,72,0.0002827,221
ux,72,0.0002827,221
lb,68,0.00026699,222
uy,68,0.00026699,222
wt,68,0.00026699,222
xo,68,0.00026699,222
hm,60,0.00023558,223
ih,60,0.00023558,223
nf,60,0.00023558,223
xt,60,0.00023558,223
kk,56,0.00021988,224
sq,56,0.00021988,224
wd,56,0.00021988,224
xa,56,0.00021988,224
zu,56,0.00021988,224
hl,52,0.00020417,225
nh,52,0.00020417,225
yk,52,0.00020417,225
aq,48,0.00018847,226
eq,48,0.00018847,226
ij,48,0.00018847,226
ml,48,0.00018847,226
nw,48,0.00018847,226
uh,48,0.00018847,226
xu,48,0.00018847,226
bh,44,0.00017276,227
gm,44,0.00017276,227
iw,44,0.00017276,227
oj,44,0.00017276,227
vr,44,0.00017276,227
dn,40,0.00015705,228
ej,40,0.00015705,228
nm,40,0.00015705,228
uj,40,0.00015705,228
yg,40,0.00015705,228
yx,40,0.00015705,228
dm,36,0.00014135,229
dw,36,0.00014135,229
iy,36,0.00014135,229
ln,36,0.00014135,229
np,36,0.00014135,229
nv,36,0.00014135,229
wu,36,0.00014135,229
md,32,0.00012564,230
rz,32,0.00012564,230
tn,32,0.00012564,230
yb,32,0.00012564,230
dj,28,0.00010994,231
dt,28,0.00010994,231
mt,28,0.00010994,231
vv,28,0.00010994,231
xl,28,0.00010994,231
zl,28,0.00010994,231
cn,24,9.423e-05,232
dz,24,9.423e-05,232
hn,24,9.423e-05,232
hw,24,9.423e-05,232
kt,24,9.423e-05,232
mr,24,9.423e-05,232
pb,24,9.423e-05,232
qi,24,9.423e-05,232
rw,24,9.423e-05,232
tk,24,9.423e-05,232
bt,20,7.853e-05,233
gt,20,7.853e-05,233
iq,20,7.853e-05,233
lh,20,7.853e-05,233
oq,20,7.853e-05,233
pd,20,7.853e-05,233
pf,20,7.853e-05,233
sg,20,7.853e-05,233
td,20,7.853e-05,233
tm,20,7.853e-05,233
wp,20,7.853e-05,233
xp,20,7.853e-05,233
bd,16,6.282e-05,234
fd,16,6.282e-05,234
gw,16,6.282e-05,234
jr,16,6.282e-05,234
lr,16,6.282e-05,234
lw,16,6.282e-05,234
lz,16,6.282e-05,234
mc,16,6.282e-05,234
mh,16,6.282e-05,234
pn,16,6.282e-05,234
sd,16,6.282e-05,234
sr,16,6.282e-05,234
vs,16,6.282e-05,234
wg,16,6.282e-05,234
xm,16,6.282e-05,234
bn,12,4.712e-05,235
cz,12,4.712e-05,235
fc,12,4.712e-05,235
hd,12,4.712e-05,235
jh,12,4.712e-05,235
lx,12,4.712e-05,235
mk,12,4.712e-05,235
mz,12,4.712e-05,235
pc,12,4.712e-05,235
pg,12,4.712e-05,235
pm,12,4.712e-05,235
pw,12,4.712e-05,235
qa,12,4.712e-05,235
rj,12,4.712e-05,235
sb,12,4.712e-05,235
tg,12,4.712e-05,235
uw,12,4.712e-05,235
wf,12,4.712e-05,235
xc,12,4.712e-05,235
yv,12,4.712e-05,235
zb,12,4.712e-05,235
zt,12,4.712e-05,235
bk,8,3.141e-05,236
bm,8,3.141e-05,236
bw,8,3.141e-05,236
cm,8,3.141e-05,236
dc,8,3.141e-05,236
dv,8,3.141e-05,236
fg,8,3.141e-05,236
fj,8,3.141e-05,236
fn,8,3.141e-05,236
fp,8,3.141e-05,236
gd,8,3.141e-05,236
gk,8,3.141e-05,236
hb,8,3.141e-05,236
hp,8,3.141e-05,236
hv,8,3.141e-05,236
jd,8,3.141e-05,236
jn,8,3.141e-05,236
kv,8,3.141e-05,236
kw,8,3.141e-05,236
mf,8,3.141e-05,236
mv,8,3.141e-05,236
pj,8,3.141e-05,236
qr,8,3.141e-05,236
sf,8,3.141e-05,236
sv,8,3.141e-05,236
sz,8,3.141e-05,236
uq,8,3.141e-05,236
vl,8,3.141e-05,236
wb,8,3.141e-05,236
wc,8,3.141e-05,236
wm,8,3.141e-05,236
xb,8,3.141e-05,236
xx,8,3.141e-05,236
yf,8,3.141e-05,236
yw,8,3.141e-05,236
zd,8,3.141e-05,236
zh,8,3.141e-05,236
zm,8,3.141e-05,236
bc,4,1.571e-05,237
bj,4,1.571e-05,237
bx,4,1.571e-05,237
bz,4,1.571e-05,237
cp,4,1.571e-05,237
cq,4,1.571e-05,237
df,4,1.571e-05,237
dk,4,1.571e-05,237
dp,4,1.571e-05,237
dq,4,1.571e-05,237
dx,4,1.571e-05,237
fh,4,1.571e-05,237
fk,4,1.571e-05,237
gb,4,1.571e-05,237
gc,4,1.571e-05,237
jj,4,1.571e-05,237
jm,4,1.571e-05,237
jy,4,1.571e-05,237
km,4,1.571e-05,237
kp,4,1.571e-05,237
lj,4,1.571e-05,237
nq,4,1.571e-05,237
nx,4,1.571e-05,237
pv,4,1.571e-05,237
qe,4,1.571e-05,237
qo,4,1.571e-05,237
qw,4,1.571e-05,237
rx,4,1.571e-05,237
sj,4,1.571e-05,237
tb,4,1.571e-05,237
tf,4,1.571e-05,237
tx,4,1.571e-05,237
uu,4,1.571e-05,237
vd,4,1.571e-05,237
vg,4,1.571e-05,237
vw,4,1.571e-05,237
wv,4,1.571e-05,237
wz,4,1.571e-05,237
xd,4,1.571e-05,237
xf,4,1.571e-05,237
xh,4,1.571e-05,237
xs,4,1.571e-05,237
xv,4,1.571e-05,237
yq,4,1.571e-05,237
yz,4,1.571e-05,237
bf,0,0.0,238
bg,0,0.0,238
bp,0,0.0,238
bq,0,0.0,238
bv,0,0.0,238
cb,0,0.0,238
cd,0,0.0,238
cf,0,0.0,238
cg,0,0.0,238
cj,0,0.0,238
cv,0,0.0,238
cw,0,0.0,238
cx,0,0.0,238
db,0,0.0,238
fb,0,0.0,238
fm,0,0.0,238
fq,0,0.0,238
fv,0,0.0,238
fw,0,0.0,238
fx,0,0.0,238
fz,0,0.0,238
gf,0,0.0,238
gj,0,0.0,238
gp,0,0.0,238
gq,0,0.0,238
gv,0,0.0,238
gx,0,0.0,238
gz,0,0.0,238
hc,0,0.0,238
hf,0,0.0,238
hg,0,0.0,238
hh,0,0.0,238
hj,0,0.0,238
hk,0,0.0,238
hq,0,0.0,238
hx,0,0.0,238
hz,0,0.0,238
jb,0,0.0,238
jc,0,0.0,238
jf,0,0.0,238
jg,0,0.0,238
jk,0,0.0,238
jl,0,0.0,238
jp,0,0.0,238
jq,0,0.0,238
js,0,0.0,238
jt,0,0.0,238
jv,0,0.0,238
jw,0,0.0,238
jx,0,0.0,238
jz,0,0.0,238
kb,0,0.0,238
kc,0,0.0,238
kd,0,0.0,238
kf,0,0.0,238
kg,0,0.0,238
kj,0,0.0,238
kq,0,0.0,238
kx,0,0.0,238
kz,0,0.0,238
lq,0,0.0,238
mg,0,0.0,238
mj,0,0.0,238
mq,0,0.0,238
mw,0,0.0,238
mx,0,0.0,238
pk,0,0.0,238
pq,0,0.0,238
px,0,0.0,238
pz,0,0.0,238
qb,0,0.0,238
qc,0,0.0,238
qd,0,0.0,238
qf,0,0.0,238
qg,0,0.0,238
qh,0,0.0,238
qj,0,0.0,238
qk,0,0.0,238
ql,0,0.0,238
qm,0,0.0,238
qn,0,0.0,238
qp,0,0.0,238
qq,0,0.0,238
qs,0,0.0,238
qt,0,0.0,238
qv,0,0.0,238
qx,0,0.0,238
qy,0,0.0,238
qz,0,0.0,238
rq,0,0.0,238
sx,0,0.0,238
tj,0,0.0,238
tp,0,0.0,238
tq,0,0.0,238
tv,0,0.0,238
vb,0,0.0,238
vc,0,0.0,238
vf,0,0.0,238
vh,0,0.0,238
vj,0,0.0,238
vk,0,0.0,238
vm,0,0.0,238
vn,0,0.0,238
vp,0,0.0,238
vq,0,0.0,238
vt,0,0.0,238
vx,0,0.0,238
vz,0,0.0,238
wj,0,0.0,238
wq,0,0.0,238
ww,0,0.0,238
wx,0,0.0,238
xg,0,0.0,238
xj,0,0.0,238
xk,0,0.0,238
xn,0,0.0,238
xq,0,0.0,238
xr,0,0.0,238
xw,0,0.0,238
xz,0,0.0,238
